New grid
,,"eLit","iCMS","iFAMS","CJTS"
"AOB",,"go-live in 2013","iFAMS and iCMS share deployment infra (EDS for deployments and app management across all environments)","go-live in 2018iFAMS and iCMS share deployment infra","go-live in 2018took inspiration from eLit (civil matters) and ICMS (minute sheet)"
"Architecture",,"GDC -> lift&shift -> GCC2 AZs~60 instancesdifferent VPCs for the separate courts2 main compartmentSG Courts Mobile: simplified mobile UI for lawyers.BEfilenetSFx for shared native DBs (for certain DBs that could not be easily brought to RDS for filenet and sharepoint, e.g. because they needed more control to get around RDS maintenance automation to ensure continuity)RDS: MSSQLread replica (via AWS RDS)SharePoint to support InfoPath templates (probably by now also used for other things), currently stilla lot of the admin and maintenance tools etc. are also hosted in intranet compartmentfiles are viewed by local apps (no integrated view in eLit UI).Multimedia needs to be embedded into word, pdf, excel to be uploaded (clunky to use, uncompressable)File storage size is an issue (100s of TB).E.g. complex cases have ~10 hearings, each with own sets of docs.file size limit is 100s of MB (might be made worse by duplication when preparing bundles)past thoughts about Glacier were dropped due to access delaycause book search and judge search for references could not access archived case filesReporting:some standard reports built into intranet FEvendor delivers ad-hoc reports directly from PROD DB, takes a whileTableau server exists, but underlying DB is a small subset. And knowledge in JC is inconsistent, recently lost a power user","previously ran on GPC (Gov Private Cloud), moved over to GCC on AWSlift & shiftcontainerised app, running on EKSall one monolith, different modules for different user groupsautoscaling is set up, but not well (looking at infra instance health, which is always green, not at application health)blue/green deploymentsuses AWS native servicesruns in 2 AZsall DBs on RDSrunning active-active as a lesson learnt from GPC deployment: when active went down, mis-config/user error corrupted the passive3 main compartments:internet:public-facing apps and APIsMSSQL DB (only for config and temporary data (e.g. user login))interlink/common/gateway: connection to other JC systems and intranet APIs (iFAS, WOG AD, JC Queuing System, CAM, Singpass)SingPass via TCQ's wrapperintranet:BE appBE appBE app DB (Oracle, structured application data)document DB (pdfs, words...)reporting DB, also used as backup (real-time sync with AWS DMS instead of Oracle feature for cost)apps and APIs (supports 90+% of app features) for agenciesdocument mgmt and searcharchive of SCRIMS (predecessor for ICMS) cases, UI for retrieval of those (loaded into ICMS), no archival for ICMS cases yetTCQ file mgmt solution (used as micro frontend to render documents (previously used IBM Filenet)additional compartment for operational administrationinternet/intranet link is done on application level","2 main compartmentsreporting: Elixir, done by vendordashboards: QlikTableau used by users directly on a reporting data set (state court stats unit is strongest among courts' teams.BEall 4 DBs on Oraclesync not via AWS DMS, tbc what they useSingPass via eLit's SingPass wrapper -> was done like that when hosted on GDC3 (Gov Data Center, iFAMS was never on GPC, only used some services)","built on GCCmobile responsivetech stackAngular, DayPilot (js lib for calendar)Java EE, JBoss EAP, Spring MVC/securityJBoss on EC2OpenPDF for doc generationa few deployable units, but logically pretty much a monolith2 compartmentsinternetintranetDB:AWS FSx for documentsMSSQL for app datamonthly dump for statistics team2 LB'ed instances for filing, Consultations, Hearing1 instance for document bundling (parties select and re-order uploaded documents before hearing, which are then combined into 1 pdf)2, 3 other lightweight apps run in here as wellcost and synergy during monthly maintenanceweb layer, some DB tablesfile management: noneonly pdf allowed, so can be downloaded or viewed browserjudges would like a preview to more quickly make sense of files when many are uploadedfile size limited to 5MB (cases are simple, hence no big docs needed)considering archival of files to glacier after 10 years. they are close to that but it's not urgent as DB is still considered smallinternal initiative to OCR uploaded docs. thinking of tesseract, seemed curious when I mentioned AIsayinternet/intranet link is done on application level"
"Deployment",,"source is with CL, not on SHIP/HATSplans to bring code and CI to SHIP/HATS (CL working on it)Tuesdays and Thursdays for app deploys (8pm-11pm), Saturdays (2pm-11pm) for patchingon-site support does some smoke tests but is limited in what they can check (similar to iCMS FE). Users find bugs on Mondays, often caused by components being down (observability not great?) ","on GPC -> whole system had to go down for each deployon GCC since mid 2024rolling updates for well-understood, small changesblue-green for BE onlynot for FE as team cannot verify success beyond page load (no access on prod), and cannot reach out to random lawyersalso you would need to register two URLs (for green and blue env) with CorpPass callback linksfCMS might want to check whether we cannot hide the two envs behind a load balancerthen either ask certain users to actively go to green (e.g. by query params or so which might not require dual Corppass setup), or just randomly go and monitor/wait for complaintsinterest is there for FE to reduce downtimesome DB changes require full take-down -> fCMS could think about better development approach to mitigate (multi-step migrations etc)down-time is a concern: they need weekly roll-outs, but cannot have long down times (JC never stops, not even on weekends)no IaC yet beyond some template scriptsplanning to/talking to AWS to reverse engineer scripts from existing infrawhen migrating to GCC, they found that knowledge was lacking, so decided to go without","deployment modes same as ICMSthere seems to be more window for maintenance window, maybe availability is not as important as with iCMSsystem has some sort of feature flag capability (recurring story about legislative change that gets delayed/put on hold by upstream -> need to be able to turn off features)","deployment windows are 2-3 hours, usually 1, 2h down.often after court hours (Thu evening or weekend)often all parts are deployed at once, sometimes FE can stay up"
"Portals","FE","SAL as superintendent does content managementlaw firm admin manages user access and configurationsubscribed lawyers access their cases and reports about activity and feesvendor collects subscription fees and reports to finance departmentabsent: ICMS' media portal's feature for request for document release. Very manual process (offc saves case file screen (html, pdf?); JO indicates parts to be redacted; offc uploads annotated doc back into eLit, releases to media)","law firm (also used by SRP), media, agency, account management for law firm & media","like iCMS, law firm and SRP use same portal with some text adjustmentsno need for media role since FJC cases are confidential","portal for SRPs and companies (both parties) to file and manage their casemediators use same portal but only eMediation screens"
,"BE","sys admin similar to iCMShearing types, outcome reasons, court vacation, quotasgrant roles, assign sectionsaccess audit trail report (access to files)CAdiary, case files, reportsJOlike CA, plus hearing","Portals for JO, CO, ROinterpreter moduleadmin portal (quotas, room list, admin banner message...); one role for everything as opposed to iFAMS","separate JO, RO roles based on legislation; CO is acrossmediators come in through BE and can see case file (diff to CJTS)similar counselorcase manager, finance, diary manager...interpreter, bailiff, Call centre, PPOseveral specialist admin roles that split general admin (similar to iCMS) and specialist aspects/debugging (connect to SG courts website, FJC admin, statistics team). This more fine-grained split is necessary as responsibilities are spread across multiple people/departments","state court users, JO, CA process applications, schedule and conduct consultation & hearings, plus operationsroles can be assigned fine-grained by tribunalno global search required yet"
"Development","Vendor","Crimson Logic for app development, tender to come upwith JC for 20, 30 years, from before eLitrelationship deteriorated over the course of the FJC onboarding effortdissatisfied with delivered quality -> strain on relationshipLPS for 1 year for facility management (operations) (ever since GCC migration)CL-LPS relationship is good (both formally and informally (team level)","Toppan EcquariaRelationship with vendor is good, trustful, fairresponsiveness of vendor is considered good: a 5-7 PD effort would usually be delivered within 3-4 weeks end-to-end (iFAMS example)vendor is flexible to rush urgent changes (including overtime etc) to meet hard deadlines",,"DXC (prev. known as Xchanging)"
,"Code Ownership","CL has been ordered to bring code to SHIP/HATSJC can read code. But common to leave changes exclusively to app vendor (currently CL)... tbc how this would need to change going forward","Allowed to in-source application? Allowed to give application to another vendor? Allowed to re-use code?"
,"SR/CR process","onboarding FJC took 2.5 years (still ongoing for improvements)estimated 1k PD, in the end twice that at least: vendor severely at fault for underestimatingtakes up half their resources, putting strain on parallel CRs (~50 pending/ongoing)JC accepts some blame: unclear/changing requirements as FJC users were unfamiliar with eLit processesteam bemoans lack of centralised decision-making: eLit serves 3 courts -> 3 exec sponsors; 3 sets of users and featureskey stakeholders care only for their users (mainly JOs themselves, begrudgingly also CAs), no interest in other courts' users/use casesbrute-force: approval/alignment by CTIO -> helps, but slows down overall CR process; CTIO lacks authority in eyes of courts' stakeholdersHigh Courts still sees eLit as theirs","compared to iFAMS, estimation from vendor takes much longer. Might be overloaded with too many parallel requests for assessment, vicious cycle as it slows down the DSM team as well.the CR approval process on JC side is lightweight, and most approvers would already be involved in the requirements refinement, so approval is quickly done.","# of CRs is traditionally low, except for a recent phase of multiple legislative changes that required new/adjusted featureslegislative change trumps ongoing usability and operational changesJC approval process quite a bit more involved than for iCMSPradeep shared about difficulty working on many CRs in parallel if they touch on the same pieces of code/modules. Could this be a vendor excuse or an artifact from the codebase quality and development & CI process?","blessed with a good vendor team according to Pradeep"
,"Knowledge inventory","tech specs are with Crimson Logic; JC requested for it a few months back, slowly coming infunctional specs (initial and CRs) are available, but not reliably consolidated into a latest view and potentially spotty here and there","technical specs fairly up to date due to the recent GCC migrationfunctional specs (initial and CRs) are available, but not reliably consolidated into a latest view"
